2026-09-15T16:27:52+08:00
Running /data/01_github/jasmine/build/benches/bench_jasmine
Run on (20 X 5100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 2048 KiB (x10)
  L3 Unified 24576 KiB (x1)
Load Average: 1.02, 0.81, 0.67
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
-------------------------------------------------------------------------------------------
Benchmark                                 Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------
BM_MatDot/256_mean                  4374298 ns      4373133 ns            3 items_per_second=3.83644G/s
BM_MatDot/256_median                4368418 ns      4368174 ns            3 items_per_second=3.84078G/s
BM_MatDot/256_stddev                  11552 ns        10668 ns            3 items_per_second=9.34591M/s
BM_MatDot/256_cv                       0.26 %          0.24 %             3 items_per_second=0.24%
BM_MatDot/512_mean                 33949518 ns     33938518 ns            3 items_per_second=3.95474G/s
BM_MatDot/512_median               33957535 ns     33954844 ns            3 items_per_second=3.95283G/s
BM_MatDot/512_stddev                  39172 ns        50799 ns            3 items_per_second=5.9233M/s
BM_MatDot/512_cv                       0.12 %          0.15 %             3 items_per_second=0.15%
BM_MhaForward/2/32/8_mean            114364 ns       114356 ns            3
BM_MhaForward/2/32/8_median          114346 ns       114336 ns            3
BM_MhaForward/2/32/8_stddev            43.8 ns         43.9 ns            3
BM_MhaForward/2/32/8_cv                0.04 %          0.04 %             3
BM_MhaForward/4/64/16_mean           782949 ns       782852 ns            3
BM_MhaForward/4/64/16_median         782899 ns       782840 ns            3
BM_MhaForward/4/64/16_stddev            178 ns          104 ns            3
BM_MhaForward/4/64/16_cv               0.02 %          0.01 %             3
BM_MhaForward/4/64/32_mean          1743376 ns      1743094 ns            3
BM_MhaForward/4/64/32_median        1743447 ns      1743138 ns            3
BM_MhaForward/4/64/32_stddev            147 ns          126 ns            3
BM_MhaForward/4/64/32_cv               0.01 %          0.01 %             3
BM_MhaDecodeStep/4/64/32_mean        646727 ns       646698 ns            3
BM_MhaDecodeStep/4/64/32_median      645246 ns       645238 ns            3
BM_MhaDecodeStep/4/64/32_stddev        2888 ns         2885 ns            3
BM_MhaDecodeStep/4/64/32_cv            0.45 %          0.45 %             3
BM_MhaDecodeStep/4/64/128_mean       550889 ns       550863 ns            3
BM_MhaDecodeStep/4/64/128_median     550579 ns       550558 ns            3
BM_MhaDecodeStep/4/64/128_stddev        596 ns          600 ns            3
BM_MhaDecodeStep/4/64/128_cv           0.11 %          0.11 %             3
